Event No.	d  
0	93
1	175
2	126
3	82
4	125
5	123
6	130
7	133
8	84
9	213
10	127
11	134
12	105
13	82
14	468
15	141
16	142
17	92
18	90
19	132
20	145
21	391
22	119
23	126
24	110
25	126
26	106
27	185
28	94
29	136
30	163
31	142
32	94
33	132
34	87
35	142
36	121
37	92
38	146
39	107
40	136
41	131
42	135
43	78
44	125
45	119
46	130
47	87
48	86
49	127
50	95
51	104
52	96
53	174
54	315
55	112
56	136
57	125
58	84
59	140
60	372
61	128
62	138
63	94
64	185
65	124
66	129
67	120
68	85
69	137
70	147
71	122
72	125
73	87
74	137
75	126
76	136
77	91
78	108
79	109
80	122
81	134
82	93
83	289
84	325
85	97
86	130
87	186
88	128
89	130
90	208
91	299
92	92
93	81
94	81
95	131
96	212
97	155
98	337
99	102
100	137
101	129
102	86
103	154
104	101
105	133
106	134
107	120
108	205
109	89
110	130
111	135
112	135
113	129
114	916
115	124
116	95
117	81
118	166
119	123
120	98
121	542
122	414
123	342
124	89
125	124
126	196
127	94
128	702
129	166
130	129
131	124
132	122
133	93
134	195
135	89
136	121
137	103
138	103
139	141
140	94
141	149
142	114
143	129
144	147
145	82
146	125
147	82
148	128
149	125
150	150
151	94
152	131
153	130
154	134
155	345
156	124
157	97
158	133
159	113
160	108
161	1023
162	87
163	156
164	129
165	125
166	481
167	142
168	94
169	130
170	133
171	198
172	130
173	194
174	221
175	135
176	211
177	98
178	123
179	124
180	128
181	177
182	133
183	303
184	97
185	132
186	124
187	131
188	206
189	189
190	127
191	179
192	135
193	520
194	139
195	94
196	130
197	102
198	127
199	213
200	85
201	137
202	129
203	86
204	127
205	128
206	132
207	136
208	136
209	93
210	136
211	128
212	83
213	128
214	120
215	98
216	91
217	399
218	146
219	110
220	435
221	116
222	382
223	127
224	130
225	83
226	136
227	1023
228	131
229	89
230	131
231	121
232	108
233	129
234	89
235	128
236	99
237	81
238	128
239	87
240	90
241	111
242	256
243	407
244	136
245	109
246	94
247	111
248	138
249	128
250	178
251	92
252	134
253	1023
254	130
255	133
256	175
257	180
258	139
259	243
260	550
261	89
262	129
263	129
264	186
265	123
266	95
267	132
268	208
269	139
270	1023
271	94
272	132
273	106
274	247
275	155
276	87
277	96
278	228
279	96
280	120
281	128
282	121
283	121
284	133
285	164
286	134
287	127
288	111
289	134
290	198
291	271
292	100
293	127
294	95
295	129
296	130
297	93
298	197
299	125
300	269
301	114
302	361
303	128
304	192
305	86
306	105
307	100
308	107
309	145
310	129
311	359
312	103
313	124
314	224
315	117
316	86
317	190
318	264
319	144
320	134
321	134
322	112
323	129
324	96
325	214
326	132
327	124
328	150
329	94
330	128
331	182
332	181
333	128
334	131
335	432
336	130
337	102
338	141
339	93
340	133
341	119
342	417
343	195
344	94
345	209
346	195
347	120
348	134
349	163
350	132
351	125
352	92
353	129
354	136
355	128
356	141
357	821
358	127
359	128
360	132
361	120
362	123
363	457
364	133
365	119
366	129
367	93
368	196
369	192
370	83
371	109
372	82
373	138
374	132
375	116
376	96
377	90
378	155
379	93
380	102
381	131
382	93
383	94
384	360
385	191
386	90
387	93
388	108
389	163
390	198
391	128
392	166
393	200
394	95
395	131
396	128
397	130
398	137
399	147
400	110
401	133
402	124
403	187
404	130
405	131
406	118
407	269
408	115
409	133
410	862
411	193
412	125
413	124
414	108
415	125
416	97
417	108
418	180
419	474
420	92
421	187
422	1023
423	185
424	139
425	106
426	245
427	130
428	132
429	294
430	84
431	220
432	150
433	140
434	138
435	127
436	126
437	129
438	127
439	128
440	571
441	353
442	134
443	134
444	204
445	130
446	131
447	128
448	117
449	382
450	94
451	187
452	189
453	125
454	135
455	143
456	305
457	113
458	186
459	133
460	127
461	81
462	134
463	130
464	177
465	131
466	98
467	91
468	130
469	102
470	229
471	188
472	202
473	125
474	857
475	112
476	136
477	87
478	209
479	125
480	372
481	146
482	132
483	120
484	133
485	127
486	157
487	94
488	136
489	131
490	217
491	101
492	97
493	178
494	87
495	196
496	121
497	295
498	136
499	122
500	253
501	113
502	91
503	113
504	101
505	171
506	137
507	138
508	138
509	206
510	96
511	94
512	128
513	96
514	138
515	132
516	91
517	110
518	215
519	133
520	138
521	98
522	128
523	102
524	124
525	87
526	346
527	130
528	93
529	121
530	140
531	218
532	132
533	187
534	904
535	125
536	279
537	204
538	119
539	140
540	125
541	137
542	138
543	120
544	92
545	132
546	130
547	117
548	233
549	189
550	133
551	145
552	95
553	328
554	193
555	95
556	207
557	96
558	198
559	129
560	137
561	189
562	141
563	222
564	100
565	181
566	91
567	127
568	251
569	464
570	87
571	96
572	343
573	137
574	96
575	169
576	134
577	113
578	222
579	130
580	145
581	126
582	131
583	97
584	137
585	133
586	123
