Event No.	d  
0	82
1	391
2	91
3	120
4	313
5	193
6	190
7	113
8	103
9	202
10	195
11	379
12	191
13	194
14	104
15	129
16	96
17	93
18	188
19	192
20	193
21	316
22	115
23	189
24	83
25	143
26	222
27	162
28	181
29	118
30	181
31	91
32	107
33	109
34	326
35	127
36	184
37	110
38	946
39	411
40	401
41	97
42	119
43	207
44	209
45	193
46	198
47	192
48	199
49	194
50	185
51	112
52	92
53	108
54	97
55	381
56	385
57	180
58	247
59	191
60	103
61	85
62	98
63	375
64	126
65	186
66	101
67	186
68	95
69	207
70	84
71	181
72	208
73	187
74	148
75	191
76	435
77	182
78	177
79	187
80	190
81	94
82	200
83	92
84	115
85	209
86	559
87	139
88	92
89	95
90	166
91	117
92	157
93	188
94	175
95	94
96	191
97	374
98	200
99	121
100	96
101	96
102	366
103	187
104	197
105	281
106	92
107	96
108	99
109	193
110	92
111	91
112	88
113	195
114	181
115	179
116	80
117	136
118	143
119	135
120	86
121	190
122	133
123	150
124	195
125	211
126	174
127	189
128	82
129	150
130	382
131	200
132	184
133	265
134	188
135	195
136	187
137	173
138	195
139	201
140	191
141	197
142	96
143	86
144	95
145	184
146	187
147	1023
148	357
149	138
150	100
151	102
152	325
153	744
154	190
155	79
156	451
157	178
158	111
159	183
160	93
161	178
162	195
163	202
164	88
165	189
166	394
167	187
168	189
169	95
170	175
171	105
172	84
173	136
174	178
175	97
176	215
177	192
178	131
179	87
180	170
181	82
182	210
183	185
184	159
185	192
186	1023
187	351
188	94
189	143
190	121
191	200
192	80
193	190
194	90
195	164
196	185
197	315
198	777
199	171
200	92
201	216
202	94
203	193
204	351
205	187
206	129
207	238
208	88
209	86
210	191
211	101
212	206
213	203
214	193
215	98
216	206
217	92
218	205
219	143
220	391
221	197
222	89
223	271
224	95
225	192
226	96
227	80
228	80
229	195
230	184
231	131
232	251
233	191
234	120
235	100
236	133
237	194
238	195
239	122
240	89
241	537
242	165
243	196
244	173
245	198
246	216
247	205
248	456
249	80
250	628
251	315
252	99
253	183
254	91
255	128
256	118
257	97
258	106
259	96
260	135
261	136
262	154
263	120
264	87
265	140
266	183
267	196
268	192
269	261
270	396
271	86
272	136
273	91
274	99
275	170
276	129
277	95
278	188
279	111
280	197
281	235
282	189
283	878
284	182
285	375
286	94
287	90
288	123
289	191
290	99
291	99
292	193
293	185
294	193
295	139
296	162
297	196
298	186
299	150
300	187
301	124
302	151
303	94
304	192
305	131
306	124
307	100
308	182
309	182
310	207
311	191
312	84
313	1016
314	141
315	281
316	380
317	194
318	110
319	138
320	159
321	92
322	197
323	185
324	117
325	197
326	220
327	235
328	145
329	198
330	155
331	1023
332	92
333	197
334	84
335	96
336	185
337	201
338	219
339	145
340	89
341	143
342	222
343	189
344	193
345	199
346	112
347	130
348	209
349	586
350	195
351	135
352	200
353	184
354	193
355	194
356	124
357	303
358	92
359	232
360	520
361	384
362	186
363	95
364	358
365	87
366	192
367	89
368	203
369	374
370	96
371	185
372	197
373	529
374	112
375	96
376	190
377	372
378	142
379	90
380	390
381	96
382	191
383	194
384	200
385	92
386	187
387	93
388	124
389	198
390	189
391	269
392	192
393	335
394	94
395	143
396	187
397	252
398	308
399	82
400	201
401	188
402	182
403	189
404	389
405	390
406	93
407	198
408	281
409	127
410	195
411	179
412	105
413	214
414	312
415	120
416	118
417	214
418	196
419	115
420	150
421	85
422	198
423	115
424	178
425	97
426	189
427	167
428	90
429	192
430	87
431	437
432	202
433	400
434	211
435	88
436	199
437	177
438	127
439	79
440	475
441	188
442	78
443	197
444	87
445	80
446	176
447	100
448	94
449	291
450	191
451	187
452	94
453	212
454	209
455	85
456	198
457	179
458	110
459	141
460	93
461	118
462	96
463	214
464	228
465	185
466	192
467	418
468	190
469	94
470	176
471	102
472	189
473	995
474	96
475	194
476	181
477	117
478	281
479	90
480	92
481	84
482	107
483	240
484	191
485	207
486	101
487	188
488	390
489	101
490	110
491	191
492	103
493	200
494	156
495	389
496	221
497	209
498	194
499	166
500	191
501	119
502	116
503	188
504	116
505	372
506	164
507	107
508	176
509	119
510	109
511	134
512	193
513	137
514	133
515	384
516	190
517	152
518	258
519	157
520	329
521	115
522	96
523	222
524	310
525	88
526	197
527	189
528	179
529	95
530	198
531	92
532	193
533	89
534	96
535	94
536	91
537	464
538	183
539	403
540	138
541	84
542	137
543	118
544	197
545	316
546	277
547	201
