Event No.	d  
0	501
1	227
2	1023
3	190
4	288
5	540
6	186
7	125
8	97
9	188
10	197
11	113
12	152
13	498
14	185
15	114
16	165
17	250
18	186
19	508
20	191
21	184
22	282
23	179
24	187
25	194
26	90
27	215
28	188
29	205
30	96
31	92
32	291
33	132
34	161
35	525
36	111
37	94
38	180
39	517
40	188
41	189
42	188
43	192
44	181
45	188
46	185
47	508
48	485
49	95
50	109
51	123
52	91
53	515
54	117
55	174
56	493
57	364
58	178
59	187
60	562
61	191
62	174
63	213
64	288
65	167
66	174
67	183
68	187
69	494
70	176
71	117
72	186
73	199
74	208
75	174
76	521
77	182
78	177
79	185
80	481
81	176
82	359
83	94
84	183
85	93
86	553
87	153
88	231
89	96
90	155
91	503
92	92
93	501
94	186
95	189
96	183
97	105
98	92
99	88
100	88
101	188
102	186
103	195
104	92
105	187
106	115
107	243
108	501
109	191
110	186
111	183
112	190
113	183
114	505
115	96
116	181
117	105
118	183
119	192
120	97
121	503
122	144
123	503
124	82
125	96
126	503
127	189
128	511
129	147
130	96
131	402
132	192
133	175
134	97
135	697
136	109
137	176
138	180
139	170
140	199
141	188
142	95
143	186
144	166
145	197
146	492
147	467
148	507
149	116
150	141
151	434
152	197
153	504
154	176
155	193
156	185
157	187
158	494
159	503
160	101
161	177
162	1023
163	187
164	502
165	164
166	182
167	1023
168	494
169	763
170	97
171	186
172	192
173	225
174	194
175	190
176	164
177	180
178	197
179	191
180	165
181	448
182	533
183	192
184	453
185	324
186	170
187	91
188	281
189	186
190	117
191	235
192	94
193	191
194	115
195	109
196	154
197	188
198	86
199	614
200	489
201	98
202	193
203	481
204	87
205	382
206	79
207	91
208	94
209	191
210	95
211	117
212	97
213	96
214	598
215	1023
216	472
217	186
218	190
219	100
220	127
221	189
222	95
223	118
224	86
225	215
226	128
227	148
228	96
229	111
230	221
231	90
232	345
233	85
234	153
235	97
236	80
237	97
238	81
239	183
240	505
241	188
242	181
243	146
244	531
245	138
246	185
247	189
248	711
249	220
250	186
251	506
252	191
253	99
254	95
255	105
256	182
257	190
258	95
259	95
260	181
261	95
262	574
263	290
264	459
265	192
266	98
267	180
268	122
269	116
270	331
271	183
272	185
273	94
274	97
275	180
276	547
277	194
278	491
279	300
280	193
281	186
282	95
283	147
284	492
285	218
286	183
287	358
288	172
289	115
290	98
291	78
292	96
293	825
294	154
295	189
296	144
297	185
298	180
299	86
300	94
301	79
302	97
303	165
304	488
305	115
306	92
307	94
308	101
309	142
310	544
311	272
312	194
313	189
314	191
315	250
316	132
317	187
318	183
319	193
320	126
321	129
322	191
323	198
324	176
325	244
326	114
327	95
328	190
329	98
330	191
331	463
332	190
333	99
334	189
335	1023
336	120
337	114
338	229
339	157
340	84
341	151
342	205
343	493
344	188
345	193
346	192
347	327
348	169
349	192
350	221
351	107
352	91
353	150
354	96
355	107
356	117
357	94
358	195
359	128
