Event No.	d  
0	147
1	157
2	269
3	148
4	134
5	118
6	313
7	105
8	146
9	144
10	149
11	225
12	149
13	144
14	146
15	180
16	152
17	219
18	364
19	103
20	100
21	219
22	108
23	847
24	149
25	212
26	154
27	143
28	155
29	141
30	98
31	118
32	109
33	227
34	131
35	614
36	207
37	148
38	118
39	138
40	148
41	149
42	157
43	144
44	144
45	148
46	194
47	134
48	217
49	544
50	144
51	129
52	142
53	149
54	135
55	411
56	232
57	147
58	148
59	173
60	191
61	126
62	81
63	102
64	148
65	144
66	92
67	140
68	485
69	142
70	116
71	309
72	780
73	182
74	146
75	139
76	123
77	145
78	224
79	151
80	133
81	142
82	145
83	99
84	129
85	130
86	139
87	97
88	229
89	158
90	145
91	111
92	157
93	144
94	140
95	140
96	1023
97	1023
98	150
99	96
100	148
101	144
102	98
103	145
104	145
105	145
106	149
107	408
108	638
109	160
110	142
111	726
112	142
113	137
114	451
115	148
116	148
117	150
118	91
119	146
120	83
121	150
122	97
123	277
124	142
125	120
126	100
127	101
128	145
129	209
130	145
131	145
132	172
133	150
134	169
135	90
136	147
137	144
138	106
139	132
140	97
141	148
142	149
143	114
144	86
145	106
146	124
147	105
148	206
149	562
150	131
151	356
152	149
153	142
154	142
155	144
156	154
157	402
158	123
159	297
160	134
161	145
162	225
163	150
164	149
165	92
166	108
167	156
168	86
169	147
170	191
171	1023
172	116
173	145
174	106
175	173
176	104
177	224
178	145
179	214
180	145
181	150
182	159
183	102
184	102
185	140
186	141
187	395
188	146
189	145
190	150
191	147
192	225
193	251
194	143
195	96
196	625
197	195
198	185
199	93
200	139
201	121
202	109
203	110
204	106
205	142
206	147
207	312
208	177
209	148
210	165
211	144
212	145
213	106
214	147
215	157
216	103
217	85
218	101
219	608
220	145
221	108
222	107
223	142
224	383
225	238
226	113
227	147
228	84
229	247
230	152
231	108
232	209
233	149
234	154
235	143
236	109
237	137
238	107
239	1012
240	144
241	111
242	311
243	148
244	155
245	226
246	167
247	143
248	227
249	223
250	223
251	117
252	107
253	217
254	152
255	147
256	147
257	219
258	142
259	146
260	143
261	123
262	143
263	185
264	119
265	92
266	150
267	1023
268	828
269	186
270	160
271	144
272	86
273	170
274	218
275	144
276	362
277	193
278	141
279	106
280	141
281	146
282	148
283	147
284	158
285	168
286	182
287	98
288	148
289	219
290	143
291	214
292	178
293	148
294	130
295	214
296	103
297	202
298	194
299	160
300	95
301	105
302	150
303	166
304	147
305	269
306	142
307	775
308	207
309	148
310	86
311	145
312	220
313	222
314	140
315	107
316	325
317	106
318	107
319	148
320	141
321	130
322	167
323	142
324	140
325	189
326	140
327	143
328	101
329	138
330	145
331	459
332	149
333	98
334	160
335	147
336	319
337	170
338	104
339	88
340	146
341	139
342	779
343	110
344	113
345	134
346	137
347	98
348	142
349	144
350	93
351	222
352	107
353	144
354	211
355	242
356	209
357	152
358	139
359	215
360	98
361	141
362	140
363	120
364	224
365	140
366	295
367	86
368	106
369	340
370	105
371	108
372	142
373	109
374	91
375	141
376	132
377	324
378	120
379	305
380	145
381	143
382	158
383	142
384	141
385	87
386	140
387	140
388	103
389	214
390	104
391	140
392	145
393	135
394	141
395	109
396	170
397	335
398	152
399	83
400	144
401	137
402	147
403	118
404	142
405	96
406	165
407	177
408	87
409	225
410	139
411	89
412	174
413	208
414	141
415	104
416	222
417	134
418	295
419	218
420	205
421	93
422	139
423	134
424	145
425	94
426	134
427	128
428	106
429	249
430	144
431	338
432	125
433	143
434	143
435	141
436	145
437	144
438	682
439	214
440	260
441	141
442	93
443	117
444	149
445	146
446	152
447	110
448	108
449	138
450	114
451	106
452	204
453	141
454	146
455	151
456	82
457	149
458	106
459	136
460	106
461	104
462	147
463	82
464	141
465	168
466	108
467	148
468	111
469	155
470	129
471	306
472	101
473	102
474	147
475	196
476	1023
477	143
478	142
479	270
480	209
481	225
482	216
483	139
484	101
485	137
486	108
487	84
488	86
489	186
490	132
491	113
492	466
493	174
494	292
495	143
496	103
497	144
498	213
499	109
500	142
501	442
502	114
503	203
504	140
505	142
506	645
507	102
508	141
509	139
510	157
511	206
512	101
513	1023
514	82
515	143
516	124
517	142
518	233
519	142
520	139
521	102
522	138
523	155
524	81
525	147
526	411
527	138
528	226
529	221
530	109
531	145
532	141
533	105
534	103
535	113
536	103
537	171
538	91
539	302
540	134
541	139
542	93
543	140
544	103
545	137
546	140
547	177
548	214
549	106
550	105
551	244
552	376
553	99
554	114
555	143
556	146
557	144
558	81
559	102
560	82
561	121
562	140
563	139
564	189
565	107
566	145
567	141
568	142
569	142
570	176
571	131
572	135
573	85
574	188
575	93
576	138
577	138
578	80
579	104
580	103
581	156
582	103
583	136
584	92
585	82
586	565
587	140
588	186
589	138
590	141
591	1023
592	142
593	139
594	169
595	175
596	186
597	176
598	135
599	189
600	88
601	138
602	102
603	110
604	146
605	152
606	104
607	141
608	136
609	136
610	113
611	100
612	288
613	142
614	94
615	135
616	147
617	102
618	172
619	141
620	145
621	103
622	113
623	169
624	316
625	140
626	128
627	143
628	140
629	81
630	83
631	135
632	103
633	307
634	153
635	80
636	93
637	141
638	97
639	120
640	102
641	221
642	141
643	88
644	204
645	137
646	183
647	86
648	137
649	184
650	147
651	242
652	202
653	136
654	144
655	152
656	138
657	357
658	145
659	144
660	80
661	304
662	215
663	87
664	156
665	210
666	145
667	198
668	136
669	103
670	424
671	136
672	136
673	119
674	184
675	137
676	328
677	101
678	126
679	140
680	133
681	99
682	145
683	183
684	141
685	158
686	101
687	146
688	144
689	155
690	157
691	151
692	133
693	100
694	89
695	139
696	90
697	101
698	141
699	136
700	134
701	240
702	108
703	137
704	131
705	110
706	207
707	127
708	203
709	121
710	139
711	148
712	131
713	239
714	353
715	126
716	999
717	365
718	132
719	206
720	164
721	123
722	141
723	140
724	134
725	181
726	110
727	157
728	157
729	97
730	80
731	80
732	143
733	145
734	81
735	134
736	451
737	132
738	295
739	95
740	232
741	137
742	136
743	154
744	88
745	139
746	143
747	138
748	204
749	204
750	132
751	143
752	223
753	144
754	97
755	140
756	120
757	109
758	132
759	139
760	134
761	98
762	139
763	105
764	104
765	128
766	205
767	135
768	141
769	131
770	140
771	101
772	133
773	154
774	135
775	136
776	148
777	188
778	200
779	138
780	135
781	149
782	275
783	114
784	98
785	142
786	107
787	109
788	85
789	89
790	201
791	181
792	133
793	133
794	358
795	145
796	203
797	105
798	101
799	131
800	129
801	132
802	142
803	137
804	158
805	152
806	85
807	137
808	137
809	225
810	207
811	380
812	205
813	128
814	182
815	100
816	138
817	205
818	142
819	135
820	143
821	108
822	433
823	102
824	131
825	96
826	103
827	474
828	139
829	260
830	122
831	109
832	135
833	144
834	99
835	136
836	139
837	137
838	212
839	169
840	150
841	140
842	139
843	90
844	421
845	133
846	136
847	150
848	152
849	194
850	132
851	135
852	108
853	318
854	144
855	130
856	316
857	221
858	136
859	185
860	103
861	135
862	139
863	152
864	141
865	114
866	230
867	144
868	115
869	100
870	96
871	103
872	139
873	135
874	713
875	409
876	135
877	128
878	87
879	82
880	92
881	267
882	131
883	83
884	141
885	133
886	114
887	122
888	125
889	322
890	137
891	104
892	85
893	113
894	207
895	356
896	139
897	97
898	139
899	153
900	140
901	131
902	286
903	214
904	199
905	136
906	98
907	82
908	166
909	417
910	107
911	140
912	81
913	102
914	141
915	104
916	136
917	107
918	155
919	99
920	133
921	136
922	163
923	148
924	181
925	134
926	172
927	138
928	157
929	87
930	388
931	134
932	110
933	110
934	115
935	136
936	98
937	123
938	102
939	139
940	105
941	132
942	114
943	100
944	137
945	102
946	99
947	146
948	139
949	531
950	208
951	162
952	114
953	102
954	126
955	116
956	131
957	673
958	132
959	135
960	92
961	212
962	155
963	133
964	133
965	868
966	94
967	174
968	134
969	165
970	207
971	107
972	137
973	134
974	100
975	224
976	88
977	248
978	135
979	113
980	98
981	227
982	212
983	164
984	122
985	100
986	199
987	83
988	132
989	141
990	138
991	148
992	136
993	132
994	112
995	132
996	93
997	102
998	130
999	140
1000	100
1001	324
1002	116
1003	134
1004	90
1005	137
1006	125
1007	99
1008	101
1009	140
1010	129
1011	103
1012	99
1013	135
1014	93
1015	137
1016	162
1017	101
1018	117
1019	138
1020	137
1021	134
1022	137
1023	82
1024	81
1025	146
1026	132
1027	139
1028	140
1029	271
1030	206
1031	142
1032	136
1033	129
1034	154
1035	131
1036	136
1037	137
1038	125
1039	99
1040	124
1041	138
1042	136
1043	609
1044	148
1045	286
1046	134
1047	82
1048	115
1049	474
1050	200
1051	103
1052	397
1053	140
1054	90
1055	138
1056	126
1057	134
1058	134
1059	96
1060	200
1061	124
1062	206
1063	133
1064	161
1065	102
1066	135
1067	110
1068	175
1069	135
1070	152
1071	111
1072	169
1073	211
1074	333
1075	139
1076	99
1077	318
1078	204
1079	132
1080	102
1081	102
1082	150
1083	147
1084	141
1085	111
1086	218
1087	137
1088	136
1089	101
1090	207
1091	141
1092	133
1093	137
1094	108
1095	102
1096	164
1097	136
1098	133
1099	133
1100	139
1101	112
1102	209
1103	138
1104	158
1105	378
1106	142
1107	140
1108	136
1109	173
1110	132
1111	142
1112	149
1113	139
1114	194
1115	140
1116	135
1117	109
1118	151
1119	88
1120	137
1121	132
1122	270
1123	142
1124	141
1125	293
1126	173
1127	137
1128	137
1129	101
1130	204
1131	85
1132	167
1133	138
1134	133
1135	131
1136	89
1137	135
1138	97
1139	131
1140	741
1141	126
1142	132
1143	118
1144	94
1145	136
1146	101
1147	139
1148	203
1149	134
1150	99
1151	135
1152	203
1153	507
1154	99
1155	137
1156	288
1157	200
1158	111
1159	493
1160	138
1161	150
1162	99
1163	137
1164	101
1165	201
1166	88
1167	114
1168	131
1169	141
1170	153
1171	141
1172	97
1173	138
1174	100
1175	84
1176	131
1177	204
1178	101
1179	146
1180	1023
1181	101
1182	102
1183	137
1184	96
1185	142
1186	198
1187	87
1188	136
1189	102
1190	145
1191	121
1192	138
1193	201
1194	135
1195	193
1196	102
1197	148
1198	137
1199	97
1200	122
1201	112
1202	127
1203	141
1204	109
1205	92
1206	642
1207	133
1208	107
1209	141
1210	122
1211	203
1212	140
1213	132
1214	81
1215	136
1216	99
1217	161
1218	435
1219	181
1220	136
1221	101
1222	136
1223	139
1224	413
1225	99
1226	135
1227	138
1228	140
1229	245
1230	149
1231	134
1232	200
1233	136
1234	416
1235	98
1236	137
1237	151
1238	112
1239	223
1240	89
1241	102
1242	219
1243	141
1244	137
1245	129
1246	140
1247	95
1248	141
1249	169
1250	131
1251	100
1252	98
1253	87
1254	139
1255	136
1256	113
1257	136
1258	141
1259	348
1260	140
1261	168
1262	133
1263	223
1264	185
1265	131
1266	90
1267	139
1268	222
1269	153
1270	137
1271	654
1272	111
1273	131
1274	91
1275	103
1276	149
1277	93
1278	125
1279	138
1280	601
1281	103
1282	97
1283	134
1284	178
1285	328
1286	343
1287	137
1288	235
1289	140
1290	211
1291	111
1292	109
1293	232
1294	189
1295	89
1296	111
1297	209
1298	666
1299	386
1300	131
1301	137
1302	138
1303	468
1304	142
1305	126
1306	144
1307	208
1308	117
1309	160
1310	164
1311	136
1312	183
1313	213
1314	137
1315	140
1316	136
1317	198
1318	136
1319	135
1320	183
1321	141
1322	133
1323	130
1324	205
1325	140
1326	134
1327	98
1328	256
1329	117
1330	173
1331	110
1332	110
1333	102
1334	141
1335	97
1336	142
1337	146
1338	203
1339	103
1340	168
1341	239
1342	92
1343	114
1344	148
1345	861
1346	137
1347	137
1348	132
1349	221
1350	135
1351	154
1352	135
1353	102
1354	137
1355	138
1356	375
1357	135
1358	145
1359	141
1360	108
1361	141
1362	147
1363	100
1364	345
1365	136
1366	136
1367	100
1368	208
1369	141
1370	88
1371	132
1372	216
1373	149
1374	97
1375	141
1376	210
1377	157
1378	133
1379	210
1380	133
1381	133
1382	140
1383	101
1384	160
1385	203
1386	771
1387	114
1388	298
1389	99
1390	135
1391	138
1392	143
1393	150
1394	190
1395	135
1396	102
1397	136
1398	101
1399	130
1400	113
1401	111
1402	122
1403	124
1404	107
1405	193
1406	137
1407	101
1408	104
1409	123
1410	174
1411	300
1412	106
1413	214
1414	131
1415	143
1416	198
1417	200
1418	265
1419	207
1420	205
1421	138
1422	139
1423	145
1424	133
1425	141
1426	113
1427	137
1428	102
1429	86
1430	140
1431	176
1432	151
1433	146
1434	104
1435	114
1436	147
1437	154
1438	106
1439	145
1440	104
1441	86
1442	144
1443	135
1444	124
1445	103
1446	107
1447	94
1448	128
1449	108
1450	140
1451	220
1452	148
1453	181
1454	133
1455	105
1456	302
1457	146
1458	97
1459	144
1460	136
1461	143
1462	88
1463	277
1464	209
1465	227
1466	134
1467	188
1468	151
1469	252
1470	129
1471	143
1472	142
1473	145
1474	158
1475	147
1476	147
1477	251
1478	103
1479	138
1480	147
1481	784
1482	85
1483	143
1484	210
1485	142
1486	80
1487	93
1488	138
1489	143
1490	84
1491	216
1492	98
1493	146
1494	159
1495	143
1496	145
1497	107
1498	109
1499	132
1500	99
1501	136
1502	234
1503	151
1504	213
1505	397
1506	162
1507	159
1508	109
1509	295
1510	137
1511	91
1512	147
1513	144
1514	154
1515	114
1516	128
1517	349
1518	96
1519	168
1520	134
1521	221
1522	309
1523	109
1524	85
1525	247
1526	142
1527	136
1528	139
1529	150
1530	368
1531	139
1532	149
1533	136
1534	143
1535	139
1536	142
1537	141
1538	138
1539	101
1540	138
1541	154
1542	143
1543	138
1544	80
1545	120
1546	141
1547	141
1548	169
1549	142
1550	198
1551	142
1552	454
1553	139
1554	130
1555	104
1556	142
1557	210
1558	153
1559	145
1560	145
1561	126
1562	148
1563	105
1564	104
1565	221
1566	177
1567	139
1568	148
1569	139
1570	137
1571	202
1572	307
1573	105
1574	231
1575	142
1576	222
1577	81
1578	145
1579	104
1580	141
1581	103
1582	197
1583	157
1584	138
1585	200
1586	101
1587	138
1588	109
1589	140
1590	128
1591	146
1592	140
1593	140
1594	116
1595	181
1596	198
1597	135
1598	218
1599	147
1600	199
1601	122
1602	162
1603	140
1604	213
1605	114
1606	579
1607	440
1608	187
1609	85
1610	102
1611	372
1612	138
1613	145
1614	111
1615	151
1616	159
1617	138
1618	211
1619	168
1620	139
1621	155
1622	103
1623	145
1624	167
1625	212
1626	157
1627	84
1628	192
1629	320
1630	142
