mother	embryo	het_sites_total	het_sites_mismatch	het_match_percentage	hom_sites_total	hom_sites_mismatch	hom_match_percentage	total_sites	total_mismatch	total_match_percentage
MGoldgelb_589458	MGoldgelb_589458_a	16795	478	97.2	4211	192	95.4	21006	670	96.8
MGoldgelb_589458	MGoldgelb_589458_e1	15427	2903	81.2	5965	2371	60.3	21392	5274	75.3
MGoldgelb_589458	MGoldgelb_589458_e10	37	29	21.6	21	18	14.3	58	47	19.0
MGoldgelb_589458	MGoldgelb_589458_e11	0	0	NA	1	1	0.0	1	1	0.0
MGoldgelb_589458	MGoldgelb_589458_e12	53	28	47.2	49	40	18.4	102	68	33.3
MGoldgelb_589458	MGoldgelb_589458_e13	0	0	NA	0	0	NA	0	0	NA
MGoldgelb_589458	MGoldgelb_589458_e14	9890	2357	76.2	6801	4764	30.0	16691	7121	57.3
MGoldgelb_589458	MGoldgelb_589458_e15	1594	278	82.6	1314	1019	22.5	2908	1297	55.4
MGoldgelb_589458	MGoldgelb_589458_e16	11	10	9.1	14	12	14.3	25	22	12.0
MGoldgelb_589458	MGoldgelb_589458_e17	19595	4314	78.0	9265	5129	44.6	28860	9443	67.3
MGoldgelb_589458	MGoldgelb_589458_e18	58	31	46.6	50	44	12.0	108	75	30.6
MGoldgelb_589458	MGoldgelb_589458_e19	741	132	82.2	235	103	56.2	976	235	75.9
MGoldgelb_589458	MGoldgelb_589458_e2	3377	534	84.2	1684	964	42.8	5061	1498	70.4
MGoldgelb_589458	MGoldgelb_589458_e20	0	0	NA	0	0	NA	0	0	NA
MGoldgelb_589458	MGoldgelb_589458_e21	99	35	64.6	26	5	80.8	125	40	68.0
MGoldgelb_589458	MGoldgelb_589458_e22	90	25	72.2	78	62	20.5	168	87	48.2
MGoldgelb_589458	MGoldgelb_589458_e23	17982	3533	80.4	8190	4398	46.3	26172	7931	69.7
MGoldgelb_589458	MGoldgelb_589458_e3	123	38	69.1	77	33	57.1	200	71	64.5
MGoldgelb_589458	MGoldgelb_589458_e4	340	75	77.9	128	77	39.8	468	152	67.5
MGoldgelb_589458	MGoldgelb_589458_e5	0	0	NA	1	1	0.0	1	1	0.0
MGoldgelb_589458	MGoldgelb_589458_e6	7080	1253	82.3	2661	714	73.2	9741	1967	79.8
MGoldgelb_589458	MGoldgelb_589458_e7	305	96	68.5	169	89	47.3	474	185	61.0
MGoldgelb_589458	MGoldgelb_589458_e8	246	76	69.1	78	46	41.0	324	122	62.3
MGoldgelb_589458	MGoldgelb_589458_e9	57	30	47.4	17	11	35.3	74	41	44.6
MGoldgelb_589458	MGoldgelb_589458_sim_e1	9	0	100.0	3	0	100.0	12	0	100.0
MGoldgelb_589458	MGoldgelb_589458_sim_e2	15	1	93.3	1	0	100.0	16	1	93.8
MGoldgelb_589458	MGoldgelb_589458_sim_e3	14	2	85.7	2	0	100.0	16	2	87.5
MGoldgelb_589458	MGoldgelb_589458_sim_e4	5004	80	98.4	805	2	99.8	5809	82	98.6
MGoldgelb_589458	MGoldgelb_589458_sim_e5	5150	61	98.8	761	0	100.0	5911	61	99.0
MGoldgelb_589458	MGoldgelb_589458_sim_e6	5072	69	98.6	761	3	99.6	5833	72	98.8
MHenryFDupont_589732	MHenryFDupont_589732_a	7	2	71.4	1	0	100.0	8	2	75.0
MHenryFDupont_589732	MHenryFDupont_589732_b	15	3	80.0	8	2	75.0	23	5	78.3
MHenryFDupont_589732	MHenryFDupont_589732_e1	2202	604	72.6	2026	1019	49.7	4228	1623	61.6
MHenryFDupont_589732	MHenryFDupont_589732_e10	7954	2086	73.8	5852	2245	61.6	13806	4331	68.6
MHenryFDupont_589732	MHenryFDupont_589732_e11	1910	241	87.4	1860	1148	38.3	3770	1389	63.2
MHenryFDupont_589732	MHenryFDupont_589732_e12	19639	5688	71.0	17471	7877	54.9	37110	13565	63.4
MHenryFDupont_589732	MHenryFDupont_589732_e13	4448	1564	64.8	4256	1894	55.5	8704	3458	60.3
MHenryFDupont_589732	MHenryFDupont_589732_e14	9909	3800	61.7	7539	2899	61.5	17448	6699	61.6
MHenryFDupont_589732	MHenryFDupont_589732_e15	627	123	80.4	498	229	54.0	1125	352	68.7
MHenryFDupont_589732	MHenryFDupont_589732_e16	3456	650	81.2	3300	1782	46.0	6756	2432	64.0
MHenryFDupont_589732	MHenryFDupont_589732_e17	5604	697	87.6	4994	3286	34.2	10598	3983	62.4
MHenryFDupont_589732	MHenryFDupont_589732_e18	828	269	67.5	806	359	55.5	1634	628	61.6
MHenryFDupont_589732	MHenryFDupont_589732_e19	12434	2825	77.3	11620	5363	53.8	24054	8188	66.0
MHenryFDupont_589732	MHenryFDupont_589732_e2	7321	1029	85.9	6383	3488	45.4	13704	4517	67.0
MHenryFDupont_589732	MHenryFDupont_589732_e20	3443	794	76.9	2951	1393	52.8	6394	2187	65.8
MHenryFDupont_589732	MHenryFDupont_589732_e21	1222	269	78.0	1171	652	44.3	2393	921	61.5
MHenryFDupont_589732	MHenryFDupont_589732_e22	6013	1391	76.9	5485	2316	57.8	11498	3707	67.8
MHenryFDupont_589732	MHenryFDupont_589732_e3	5771	1235	78.6	4759	2017	57.6	10530	3252	69.1
MHenryFDupont_589732	MHenryFDupont_589732_e4	2305	643	72.1	1859	851	54.2	4164	1494	64.1
MHenryFDupont_589732	MHenryFDupont_589732_e5	5036	1467	70.9	4417	2231	49.5	9453	3698	60.9
MHenryFDupont_589732	MHenryFDupont_589732_e6	8868	2968	66.5	8553	3996	53.3	17421	6964	60.0
MHenryFDupont_589732	MHenryFDupont_589732_e7	596	199	66.6	574	269	53.1	1170	468	60.0
MHenryFDupont_589732	MHenryFDupont_589732_e8	1154	254	78.0	1030	513	50.2	2184	767	64.9
MHenryFDupont_589732	MHenryFDupont_589732_e9	294	59	79.9	230	148	35.7	524	207	60.5
MHenryFDupont_589732	MHenryFDupont_589732_sim_e1	84	4	95.2	24	0	100.0	108	4	96.3
MHenryFDupont_589732	MHenryFDupont_589732_sim_e2	71	2	97.2	17	0	100.0	88	2	97.7
MHenryFDupont_589732	MHenryFDupont_589732_sim_e3	92	5	94.6	20	0	100.0	112	5	95.5
MHenryFDupont_589732	MHenryFDupont_589732_sim_e4	14811	214	98.6	5121	3	99.9	19932	217	98.9
MHenryFDupont_589732	MHenryFDupont_589732_sim_e5	14534	160	98.9	5072	10	99.8	19606	170	99.1
MHenryFDupont_589732	MHenryFDupont_589732_sim_e6	14748	175	98.8	5179	8	99.8	19927	183	99.1
MMcClintockGrimes_589124	MMcClintockGrimes_589124_a	5678	139	97.6	2388	47	98.0	8066	186	97.7
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e1	12231	3011	75.4	8515	3770	55.7	20746	6781	67.3
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e10	1330	404	69.6	2463	2015	18.2	3793	2419	36.2
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e11	20898	5583	73.3	19031	10719	43.7	39929	16302	59.2
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e12	0	0	NA	0	0	NA	0	0	NA
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e13	28533	7802	72.7	59763	49106	17.8	88296	56908	35.5
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e14	179	53	70.4	361	305	15.5	540	358	33.7
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e15	6555	1415	78.4	6710	4176	37.8	13265	5591	57.9
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e16	1409	341	75.8	1025	579	43.5	2434	920	62.2
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e17	0	0	NA	0	0	NA	0	0	NA
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e18	4263	900	78.9	4330	2792	35.5	8593	3692	57.0
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e19	20178	5224	74.1	50484	43461	13.9	70662	48685	31.1
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e2	6310	1844	70.8	5231	2687	48.6	11541	4531	60.7
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e3	558	129	76.9	496	299	39.7	1054	428	59.4
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e4	0	0	NA	0	0	NA	0	0	NA
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e5	3251	1125	65.4	2803	1508	46.2	6054	2633	56.5
MMcClintockGrimes_589124	MMcClintockGrimes_589124_e6	21291	5143	75.8	21272	13770	35.3	42563	18913	55.6
