mother	embryo	het_sites_total	het_sites_mismatch	het_match_percentage	hom_sites_total	hom_sites_mismatch	hom_match_percentage	total_sites	total_mismatch	total_match_percentage
MIndianSummer_589733	MIndianSummer_589733_e1	36580	8876	75.7	40665	18194	55.3	77245	27070	65.0
MIndianSummer_589733	MIndianSummer_589733_e10	21575	2984	86.2	23979	16062	33.0	45554	19046	58.2
MIndianSummer_589733	MIndianSummer_589733_e11	35234	5196	85.3	42479	26653	37.3	77713	31849	59.0
MIndianSummer_589733	MIndianSummer_589733_e12	57829	6338	89.0	69347	48509	30.0	127176	54847	56.9
MIndianSummer_589733	MIndianSummer_589733_e13	8237	1440	82.5	8577	3331	61.2	16814	4771	71.6
MIndianSummer_589733	MIndianSummer_589733_e14	56722	8028	85.8	68182	43078	36.8	124904	51106	59.1
MIndianSummer_589733	MIndianSummer_589733_e15	48741	6877	85.9	55531	34658	37.6	104272	41535	60.2
MIndianSummer_589733	MIndianSummer_589733_e16	42081	5171	87.7	45197	30682	32.1	87278	35853	58.9
MIndianSummer_589733	MIndianSummer_589733_e17	35637	3034	91.5	37272	26766	28.2	72909	29800	59.1
MIndianSummer_589733	MIndianSummer_589733_e18	23362	3054	86.9	25667	15770	38.6	49029	18824	61.6
MIndianSummer_589733	MIndianSummer_589733_e19	26948	5679	78.9	25760	11804	54.2	52708	17483	66.8
MIndianSummer_589733	MIndianSummer_589733_e2	49309	6633	86.5	58319	38557	33.9	107628	45190	58.0
MIndianSummer_589733	MIndianSummer_589733_e20	39163	4154	89.4	42195	29123	31.0	81358	33277	59.1
MIndianSummer_589733	MIndianSummer_589733_e21	53142	12639	76.2	60638	32309	46.7	113780	44948	60.5
MIndianSummer_589733	MIndianSummer_589733_e22	46347	6507	86.0	61224	41493	32.2	107571	48000	55.4
MIndianSummer_589733	MIndianSummer_589733_e23	33071	4409	86.7	34346	18367	46.5	67417	22776	66.2
MIndianSummer_589733	MIndianSummer_589733_e3	86202	9047	89.5	105153	76337	27.4	191355	85384	55.4
MIndianSummer_589733	MIndianSummer_589733_e4	13091	1609	87.7	14016	8609	38.6	27107	10218	62.3
MIndianSummer_589733	MIndianSummer_589733_e5	36242	6318	82.6	45936	29146	36.6	82178	35464	56.8
MIndianSummer_589733	MIndianSummer_589733_e6	9700	1014	89.5	10405	7023	32.5	20105	8037	60.0
MIndianSummer_589733	MIndianSummer_589733_e7	36553	8720	76.1	42375	19706	53.5	78928	28426	64.0
MIndianSummer_589733	MIndianSummer_589733_e8	122273	32020	73.8	104670	36264	65.4	226943	68284	69.9
MIndianSummer_589733	MIndianSummer_589733_e9	47892	6398	86.6	58581	40345	31.1	106473	46743	56.1
MIndianSummer_589733	MIndianSummer_589733_sim_e1	36788	275	99.3	16153	3	100.0	52941	278	99.5
MIndianSummer_589733	MIndianSummer_589733_sim_e10	2050	26	98.7	701	0	100.0	2751	26	99.1
